tipo,descripcion
522451,Montepíos
523110,Casas de bolsa
524110,Compañías de seguros
525210,Fondos de inversión
524220,Administración de cajas de pensión y de seguros independientes
522460,Sociedades financieras de objeto múltiple
523122,Centros cambiarios
524120,Fondos de aseguramiento campesino
522452,Casas de empeño
524130,Compañías afianzadoras
522110,Banca múltiple
522390,Otras instituciones de ahorro y préstamo
523210,Bolsa de valores
523121,Casas de cambio
523910,Asesoría en inversiones
522310,Uniones de crédito
522440,Compañías de autofinanciamiento
521110,Banca central
522210,Banca de desarrollo
522220,Fondos y fideicomisos financieros
524210,"Agentes, ajustadores y gestores de seguros y fianzas"
523990,Otros servicios relacionados con la intermediación bursátil
522510,Servicios relacionados con la intermediación crediticia no bursátil
522490,Otras instituciones de intermediación crediticia y financiera no bursátil
522320,Cajas de ahorro popular
